# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.038134e-02   1.191836e-10   2.952385e-05   7.295223e-12   288
  2.052694e-02   1.363562e-10   5.132727e-05   6.437942e-12   456
  2.067354e-02   1.309071e-10   4.833832e-05   6.678989e-12   360
  2.076806e-02   1.347911e-10   2.897541e-05   1.034380e-11   180
  2.090485e-02   1.481239e-10   3.155776e-05   6.305487e-12   486
  2.104350e-02   1.279680e-10   4.198197e-05   5.188728e-12   504
  2.118447e-02   1.246000e-10   3.261787e-05   5.943837e-12   456
  2.130135e-02   1.370874e-10   2.709969e-05   7.278596e-12   296
  2.145578e-02   1.233803e-10   2.674110e-05   5.188417e-12   528
  2.157192e-02   1.384813e-10   2.638653e-05   6.800817e-12   336
  2.174298e-02   1.195772e-10   2.926761e-05   4.739611e-12   600
  2.186818e-02   1.173756e-10   1.714653e-05   7.087495e-12   264
  2.199366e-02   1.104543e-10   1.854193e-05   6.656029e-12   360
  2.212173e-02   1.218217e-10   3.712277e-05   4.860944e-12   630
  2.226286e-02   1.105594e-10   1.916243e-05   5.618861e-12   432
  2.238805e-02   1.225558e-10   3.692115e-05   5.941547e-12   408
  2.254172e-02   9.966470e-11   2.450600e-05   5.767439e-12   324
  2.265603e-02   1.135489e-10   3.492404e-05   4.097935e-12   744
  2.279393e-02   1.037576e-10   2.791945e-05   5.142937e-12   336
  2.292567e-02   1.034318e-10   3.838211e-05   4.058021e-12   528
  2.307014e-02   1.048592e-10   1.958372e-05   5.548109e-12   408
  2.316592e-02   9.659107e-11   3.333151e-05   4.349004e-12   408
  2.332419e-02   1.129354e-10   2.751624e-05   5.049499e-12   470
  2.343947e-02   1.128579e-10   3.305591e-05   5.236638e-12   528
  2.360044e-02   1.050808e-10   2.754453e-05   4.152932e-12   624
  2.371901e-02   1.009035e-10   2.095879e-05   4.607102e-12   504
  2.384133e-02   1.032374e-10   2.919404e-05   4.508804e-12   552
  2.396266e-02   9.192966e-11   1.419171e-05   5.247658e-12   336
  2.411459e-02   9.975575e-11   3.020856e-05   4.671574e-12   528
  2.423229e-02   1.139055e-10   3.439301e-05   5.114471e-12   564
  2.437014e-02   1.087995e-10   3.165515e-05   4.657222e-12   528
  2.451959e-02   9.185478e-11   4.914557e-05   3.354323e-12   582
  2.465551e-02   9.599932e-11   3.783467e-05   4.067615e-12   624
  2.477437e-02   9.179479e-11   4.325231e-05   4.334320e-12   432
  2.491619e-02   9.311821e-11   4.811065e-05   3.059752e-12   816
  2.506212e-02   8.770351e-11   2.192667e-05   4.820387e-12   312
  2.515759e-02   9.634421e-11   3.553705e-05   3.967659e-12   552
  2.531153e-02   9.092745e-11   2.238207e-05   3.433090e-12   744
  2.542305e-02   8.998875e-11   2.090941e-05   4.470319e-12   408
  2.556700e-02   8.735920e-11   2.996409e-05   3.331160e-12   632
  2.571654e-02   8.216934e-11   5.088663e-05   2.745157e-12   750
  2.583819e-02   8.370006e-11   3.500622e-05   5.460086e-12   312
  2.597376e-02   8.723335e-11   5.168180e-05   3.000443e-12   876
  2.610784e-02   8.429141e-11   3.374515e-05   3.293502e-12   552
  2.625893e-02   7.273878e-11   2.790711e-05   2.625318e-12   696
  2.636185e-02   7.292670e-11   3.080416e-05   2.990921e-12   576
  2.650191e-02   8.439149e-11   3.261419e-05   3.379152e-12   576
  2.662146e-02   7.628463e-11   4.370312e-05   3.237203e-12   648
  2.676594e-02   8.393909e-11   4.374408e-05   3.248235e-12   672
  2.692544e-02   7.191919e-11   1.855461e-05   3.069939e-12   480
  2.702753e-02   7.922510e-11   2.873406e-05   2.717824e-12   726
  2.715899e-02   7.139258e-11   3.255943e-05   2.330381e-12   792
  2.730137e-02   8.038010e-11   4.516853e-05   3.282693e-12   768
  2.745144e-02   7.524695e-11   3.691452e-05   2.888257e-12   672
  2.758903e-02   7.959385e-11   2.476149e-05   3.264730e-12   608
  2.768863e-02   8.052974e-11   2.377178e-05   3.296828e-12   624
  2.783073e-02   6.621617e-11   3.089122e-05   2.641305e-12   684
  2.796894e-02   7.253925e-11   4.562993e-05   2.587481e-12   768
  2.809757e-02   7.538604e-11   3.648081e-05   3.121586e-12   744
  2.825084e-02   6.978039e-11   2.297049e-05   2.482945e-12   750
  2.836255e-02   7.802871e-11   3.414257e-05   3.353797e-12   600
  2.848335e-02   6.925984e-11   3.625325e-05   3.297733e-12   600
  2.863261e-02   6.800350e-11   4.177962e-05   2.471980e-12   1008
  2.875114e-02   6.781098e-11   2.317242e-05   2.367812e-12   696
  2.888247e-02   7.112156e-11   3.061180e-05   3.153569e-12   624
  2.901451e-02   6.340092e-11   4.763583e-05   2.554079e-12   840
  2.916451e-02   6.964793e-11   3.241234e-05   2.477662e-12   816
  2.928619e-02   6.173357e-11   2.152904e-05   2.263408e-12   744
  2.940906e-02   6.717594e-11   3.805980e-05   3.050251e-12   510
  2.955749e-02   6.649842e-11   3.654053e-05   2.208187e-12   1020
  2.969564e-02   6.773054e-11   2.948459e-05   2.218186e-12   912
  2.983182e-02   6.352705e-11   4.368307e-05   2.337049e-12   752
