# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.449274e-01   2.255145e-13   2.738281e-04   1.371006e-14   240
  3.457090e-01   1.524999e-13   3.973643e-09   1.554907e-14   96
  3.471927e-01   2.045114e-13   2.617995e-04   2.186948e-14   144
  3.481071e-01   1.758536e-13   2.573258e-04   9.148584e-15   456
  3.495904e-01   1.965054e-13   0.000000e+00   1.681479e-14   120
  3.501414e-01   1.972361e-13   0.000000e+00   1.981665e-14   144
  3.512407e-01   1.935043e-13   0.000000e+00   3.519319e-14   24
  3.519456e-01   1.863835e-13   2.473498e-04   9.482763e-15   336
  3.531645e-01   2.080276e-13   2.727931e-04   1.537247e-14   198
  3.543067e-01   2.026271e-13   2.652756e-04   9.910819e-15   432
  3.556041e-01   2.270770e-13   0.000000e+00   3.180878e-14   48
  3.562810e-01   2.257347e-13   2.341925e-04   1.271942e-14   384
  3.574963e-01   1.607156e-13   2.696052e-04   1.297853e-14   144
  3.585975e-01   2.192681e-13   2.676825e-04   1.591759e-14   264
  3.599147e-01   2.132156e-13   3.973643e-09   2.391920e-14   48
  3.607984e-01   2.061231e-13   2.545223e-04   1.154351e-14   276
  3.616510e-01   1.761641e-13   2.307176e-04   1.325703e-14   192
  3.627906e-01   1.679399e-13   2.592759e-04   7.145638e-15   552
  3.641741e-01   2.164796e-13   4.495664e-09   2.372179e-14   120
  3.649965e-01   1.722737e-13   2.624511e-04   1.094921e-14   216
  3.657587e-01   2.375885e-13   6.357829e-09   2.022459e-14   120
  3.671201e-01   1.765053e-13   2.584500e-04   8.231560e-15   408
  3.683844e-01   1.167350e-13   5.619580e-09   1.993024e-14   24
  3.691684e-01   1.699753e-13   2.610810e-04   9.102685e-15   384
  3.702633e-01   1.861763e-13   2.550855e-04   1.058896e-14   240
  3.712141e-01   2.193932e-13   2.569535e-04   1.651071e-14   168
  3.725471e-01   1.686497e-13   0.000000e+00   1.580752e-14   120
  3.734064e-01   1.631638e-13   2.678605e-04   7.976374e-15   350
  3.748037e-01   2.178930e-13   4.409502e-04   1.317973e-14   384
  3.756388e-01   1.865783e-13   0.000000e+00   1.588114e-14   144
  3.771752e-01   1.591338e-13   0.000000e+00   8.911907e-15   288
  3.779773e-01   1.964894e-13   2.524053e-04   1.153635e-14   336
  3.790686e-01   1.552973e-13   2.297941e-04   1.163789e-14   168
  3.797219e-01   1.653790e-13   1.015467e-08   7.739258e-15   336
  3.810732e-01   1.459397e-13   2.385126e-04   8.977895e-15   288
  3.818848e-01   1.772055e-13   2.247398e-04   1.251840e-14   264
  3.832590e-01   1.711840e-13   0.000000e+00   1.305091e-14   240
  3.837616e-01   1.485242e-13   5.619580e-09   1.858558e-14   96
  3.855656e-01   1.814368e-13   3.056310e-04   1.080147e-14   360
  3.864075e-01   1.875701e-13   2.253025e-04   1.793892e-14   168
  3.874713e-01   1.413737e-13   2.456032e-04   6.371670e-15   456
  3.887523e-01   1.580324e-13   4.995182e-09   1.505029e-14   108
  3.894728e-01   1.286683e-13   2.464311e-04   7.020795e-15   264
  3.903716e-01   1.309422e-13   2.198567e-04   8.592308e-15   264
  3.916025e-01   1.446978e-13   2.074668e-04   8.138301e-15   312
  3.931351e-01   1.301654e-13   1.541705e-04   8.893246e-15   270
  3.937775e-01   1.631241e-13   1.957388e-04   1.062044e-14   240
  3.949323e-01   1.582029e-13   2.421536e-04   9.331558e-15   384
  3.956334e-01   1.345189e-13   5.619580e-09   8.689010e-15   192
  3.969952e-01   1.511493e-13   1.942960e-04   9.600877e-15   240
  3.977852e-01   1.634752e-13   2.397927e-04   1.075798e-14   336
  3.992708e-01   1.326291e-13   2.413972e-04   5.671253e-15   480
  4.004761e-01   1.983586e-13   9.176735e-09   3.282514e-14   72
  4.011493e-01   1.316880e-13   2.353842e-04   7.727376e-15   240
  4.020650e-01   1.579589e-13   2.212289e-04   9.527823e-15   312
  4.031147e-01   1.296996e-13   2.390954e-04   8.061482e-15   240
  4.047009e-01   1.434937e-13   1.816506e-04   7.128897e-15   408
  4.053288e-01   1.303108e-13   1.663482e-04   8.274756e-15   336
  4.065560e-01   1.412398e-13   2.112212e-04   8.794852e-15   264
  4.071591e-01   1.169173e-13   0.000000e+00   1.011650e-14   144
  4.088370e-01   1.154773e-13   2.927651e-04   5.514134e-15   464
  4.097211e-01   1.568495e-13   2.328083e-04   1.278594e-14   168
  4.105939e-01   1.373136e-13   2.120376e-04   8.842815e-15   336
  4.121713e-01   1.345596e-13   2.227870e-04   7.008424e-15   414
  4.130606e-01   1.468140e-13   2.319080e-04   1.188286e-14   216
  4.141998e-01   2.139884e-13   5.619580e-09   2.218333e-14   96
  4.146649e-01   1.401988e-13   1.256576e-08   7.443273e-15   384
  4.162944e-01   1.422936e-13   2.314600e-04   7.639758e-15   492
  4.171676e-01   1.578870e-13   2.263480e-04   1.008354e-14   240
  4.181546e-01   1.332890e-13   2.298225e-04   8.618835e-15   312
  4.195176e-01   8.934584e-14   2.297469e-04   7.733428e-15   192
  4.203810e-01   1.232967e-13   2.226525e-04   5.656019e-15   504
  4.215265e-01   1.303279e-13   1.473998e-04   7.321960e-15   408
  4.224284e-01   1.123200e-13   4.515774e-04   8.409587e-15   168
  4.235571e-01   1.613140e-13   2.145032e-04   1.188291e-14   288
  4.245041e-01   1.276163e-13   2.238525e-04   7.700732e-15   288
  4.254743e-01   9.154752e-14   2.251410e-04   4.248858e-15   432
  4.268815e-01   1.299288e-13   2.129084e-04   1.109969e-14   216
  4.276334e-01   1.214062e-13   2.124592e-04   7.496419e-15   360
  4.289721e-01   1.233874e-13   2.073582e-04   8.139325e-15   312
  4.301803e-01   1.716374e-13   0.000000e+00   2.455383e-14   48
  4.308767e-01   1.232396e-13   2.223178e-04   6.514996e-15   432
  4.321240e-01   1.208988e-13   3.708284e-04   6.060809e-15   414
  4.328606e-01   1.101432e-13   0.000000e+00   7.561497e-15   312
  4.342347e-01   1.075814e-13   3.253813e-04   5.753851e-15   528
  4.351620e-01   1.158587e-13   1.707976e-04   8.002275e-15   264
  4.362761e-01   1.300412e-13   2.025191e-04   7.411441e-15   480
  4.377318e-01   1.059996e-13   0.000000e+00   7.155986e-15   288
  4.383604e-01   1.000004e-13   2.176005e-04   7.899726e-15   168
  4.395105e-01   1.113287e-13   3.444610e-04   5.177190e-15   504
  4.408036e-01   1.451509e-13   5.298191e-09   1.505730e-14   144
  4.416171e-01   9.660147e-14   2.212265e-04   4.380030e-15   464
  4.428396e-01   1.016724e-13   3.246624e-04   5.218630e-15   432
  4.434197e-01   1.093563e-13   0.000000e+00   8.395719e-15   192
  4.449189e-01   9.491166e-14   2.406833e-04   6.006561e-15   396
